country,port,year,month,price_euro_kg,volume_sold_kg,wind_m_s
France,FR - Boulogne-sur-Mer,2014,4,1.29,20194,4.606699721
France,FR - Boulogne-sur-Mer,2017,4,1.59,1661,4.451182106
France,FR - Boulogne-sur-Mer,2013,11,0.51999998,515631,7.032342975
France,FR - Boulogne-sur-Mer,2016,3,2.01,749,7.362439029
France,FR - Boulogne-sur-Mer,2017,2,1.38,2151,7.377632456
France,FR - Boulogne-sur-Mer,2015,11,0.46000001,71279,9.53513519
France,FR - Boulogne-sur-Mer,2019,3,1.66,1047,8.064734282
France,FR - Boulogne-sur-Mer,2015,5,0.98000002,112759,6.564414861
France,FR - Boulogne-sur-Mer,2016,7,1.78,60864,5.443996946
France,FR - Boulogne-sur-Mer,2017,3,1.8200001,496,7.093323072
France,FR - Boulogne-sur-Mer,2016,10,0.88,89903,5.491827727
France,FR - Boulogne-sur-Mer,2018,4,2.3199999,1031,5.531189364
France,FR - Boulogne-sur-Mer,2013,5,0.94,52145,5.39066133
France,FR - Boulogne-sur-Mer,2018,9,0.68000001,78498,5.577298494
France,FR - Boulogne-sur-Mer,2013,4,1.97,102,5.911113481
France,FR - Boulogne-sur-Mer,2017,6,1.4,100658,5.778756013
France,FR - Boulogne-sur-Mer,2013,1,1.53,2926,6.83550054
France,FR - Boulogne-sur-Mer,2018,10,0.94,34462,5.778828553
France,FR - Boulogne-sur-Mer,2017,7,1.4,61785,6.025246173
France,FR - Boulogne-sur-Mer,2017,1,1.3099999,802,6.234322459
France,FR - Boulogne-sur-Mer,2019,4,2.29,6800,5.849648882
France,FR - Boulogne-sur-Mer,2015,4,1.86,947,5.960833248
France,FR - Boulogne-sur-Mer,2014,5,0.94999999,136766,5.410168918
France,FR - Boulogne-sur-Mer,2014,7,1.15,113096,4.359179991
France,FR - Boulogne-sur-Mer,2016,1,1.26,52,9.39120093
France,FR - Boulogne-sur-Mer,2019,5,0.82999998,132499,5.159867717
France,FR - Boulogne-sur-Mer,2018,5,1.1900001,74383,9.364560006
France,FR - Boulogne-sur-Mer,2016,8,1.14,100910,5.553578734
France,FR - Boulogne-sur-Mer,2016,2,1.8,333,9.158383485
France,FR - Boulogne-sur-Mer,2018,1,1.87,444,8.80144057
France,FR - Boulogne-sur-Mer,2016,11,0.67000002,16585,7.63889727
France,FR - Boulogne-sur-Mer,2015,6,1.36,192413,5.827434484
France,FR - Boulogne-sur-Mer,2016,5,0.83999997,105487,5.21195502
France,FR - Boulogne-sur-Mer,2015,9,1.0599999,255345,6.76236874
France,FR - Boulogne-sur-Mer,2015,10,0.76999998,102088,5.975280035
France,FR - Boulogne-sur-Mer,2017,12,0.93000001,2419,8.409952016
France,FR - Boulogne-sur-Mer,2014,6,0.81999999,194461,3.760378082
France,FR - Boulogne-sur-Mer,2018,2,1.3200001,294,7.909844662
France,FR - Boulogne-sur-Mer,2019,6,1.08,148609,5.350845965
France,FR - Boulogne-sur-Mer,2014,12,0.86000001,896,7.67078067
France,FR - Boulogne-sur-Mer,2014,2,1.72,244,10.05772517
France,FR - Boulogne-sur-Mer,2013,12,0.51999998,258352,8.316642819
France,FR - Boulogne-sur-Mer,2016,4,1.52,565,5.938104645
France,FR - Boulogne-sur-Mer,2013,7,1.15,107499,4.453842055
France,FR - Boulogne-sur-Mer,2013,9,0.61000001,75924,4.829964156
France,FR - Boulogne-sur-Mer,2019,2,1.92,367,6.408635806
France,FR - Boulogne-sur-Mer,2016,6,1.12,99057,5.370848605
France,FR - Boulogne-sur-Mer,2013,3,2.1700001,1337,5.057195545
France,FR - Boulogne-sur-Mer,2014,3,1.95,233,5.489866186
France,FR - Boulogne-sur-Mer,2016,9,0.85000002,136949,5.327413463
France,FR - Boulogne-sur-Mer,2019,1,1.12,546,6.739350153
France,FR - Concarneau,2015,8,0.89999998,49783,5.430185246
France,FR - Concarneau,2014,12,2.3299999,65,7.859607312
France,FR - Concarneau,2014,1,0.5,660,10.25985519
France,FR - Concarneau,2013,11,1.02,5096,9.076225061
France,FR - Concarneau,2016,9,1.29,120798,5.166474348
France,FR - Concarneau,2016,8,1.91,79962,5.549890645
France,FR - Concarneau,2013,5,0.98000002,11553,6.86376731
France,FR - Concarneau,2015,7,0.83999997,143588,5.573659186
France,FR - Concarneau,2018,3,0.69,11757,8.860803729
France,FR - Concarneau,2018,4,1.8200001,79331,6.128334393
France,FR - Concarneau,2019,6,0.81,52860,5.815804795
France,FR - Concarneau,2017,6,0.88999999,237083,5.821552049
France,FR - Concarneau,2014,7,0.85000002,113840,5.442942536
France,FR - Concarneau,2017,7,1.36,59433,6.605223109
France,FR - Concarneau,2015,3,0.94999999,56448,7.703335482
France,FR - Concarneau,2016,7,2.3299999,41406,5.48612995
France,FR - Concarneau,2013,9,0.72000003,2405,5.678977331
France,FR - Concarneau,2015,10,0.81,54999,7.337895456
France,FR - Concarneau,2019,3,0.89999998,63438,8.378898072
France,FR - Concarneau,2018,8,1.63,13310,4.769009818
France,FR - Concarneau,2013,3,0.72000003,13770,7.831888377
France,FR - Concarneau,2014,5,1.22,84108,6.082439596
France,FR - Concarneau,2013,10,0.72000003,11953,7.358863757
France,FR - Concarneau,2017,8,1.67,65719,5.385781851
France,FR - Concarneau,2013,6,1.14,60954,5.963172819
France,FR - Concarneau,2016,5,0.76999998,32154,5.673749678
France,FR - Concarneau,2014,8,0.88,107019,5.903352232
France,FR - Concarneau,2015,6,0.67000002,277300,5.682959028
France,FR - Concarneau,2016,12,0.67000002,10724,6.28231257
France,FR - Concarneau,2017,9,1.34,56057,6.879597087
France,FR - Concarneau,2019,5,2.76,2403,6.101544317
France,FR - Concarneau,2016,1,0.54000002,120645,10.23475261
France,FR - Concarneau,2013,12,0.68000001,146861,8.440216024
France,FR - Concarneau,2014,11,0.5,5200,8.320403657
France,FR - Concarneau,2015,1,1.25,700,8.397393469
France,FR - Concarneau,2016,6,1.46,54240,5.695492825
France,FR - Concarneau,2017,5,1.65,19153,6.38174421
France,FR - Concarneau,2016,11,0.81999999,155776,8.438569723
France,FR - Concarneau,2017,2,0.75,16525,8.443649224
France,FR - Concarneau,2014,3,2.3,4443,6.60659927
France,FR - Concarneau,2014,4,1.0599999,87590,6.620213319
France,FR - Concarneau,2014,10,0.79000002,90097,6.693439645
France,FR - Concarneau,2015,4,1.23,74118,6.294447673
France,FR - Concarneau,2015,5,1.48,79399,7.092591662
France,FR - Concarneau,2016,10,0.97000003,144291,6.392422048
France,FR - Concarneau,2018,7,1.48,35164,5.057947085
France,FR - Concarneau,2015,9,0.81999999,34918,6.826015024
France,FR - Concarneau,2016,3,0.58999997,127603,8.781815813
France,FR - Concarneau,2015,12,1.66,4647,8.830830793
France,FR - Concarneau,2013,8,0.75999999,29084,5.230166969
France,FR - Concarneau,2017,10,0.75999999,200842,6.039041016
France,FR - Concarneau,2019,2,0.88,91035,7.019552595
France,FR - Concarneau,2016,2,0.46000001,51675,9.601768281
France,FR - Concarneau,2018,2,1.27,200,9.345859565
France,FR - Concarneau,2018,6,0.98000002,176251,4.95037848
France,FR - Concarneau,2019,4,1.23,75971,6.715577562
France,FR - Concarneau,2018,9,1.17,22109,5.8206333
France,FR - Concarneau,2014,9,0.68000001,166099,4.715843605
France,FR - Concarneau,2015,11,0.94999999,49498,8.620331662
France,FR - Concarneau,2014,2,2.9300001,737,11.67617169
France,FR - Concarneau,2017,1,0.74000001,35837,7.200923207
France,FR - Concarneau,2017,11,0.74000001,147220,7.433783304
France,FR - Concarneau,2019,1,1,54088,7.246138798
France,FR - Concarneau,2018,10,0.76999998,119180,6.899932322
France,FR - Concarneau,2016,4,0.67000002,111878,6.631812644
France,FR - Concarneau,2015,2,1.6799999,6889,8.994563302
France,FR - Concarneau,2017,3,0.98000002,71907,7.646363878
France,FR - Concarneau,2013,7,1,17467,5.643852765
France,FR - Concarneau,2018,11,0.69,121787,8.199693712
France,FR - Concarneau,2013,4,2.29,8952,8.126891216
France,FR - Concarneau,2018,5,1.1,199365,9.920050901
France,FR - Concarneau,2018,12,0.60000002,407,8.474310313
France,FR - Concarneau,2017,12,0.68000001,16000,8.682640115
France,FR - Concarneau,2014,6,0.85000002,145402,5.517411496
France,FR - Concarneau,2017,4,1.37,119326,5.74239976
France,FR - Douarnenez,2013,4,1.49,163079,7.54053949
France,FR - Douarnenez,2014,12,1.22,47891,7.522784303
France,FR - Douarnenez,2018,6,0.85000002,266498,4.660232663
France,FR - Douarnenez,2014,6,1,192886,5.200550504
France,FR - Douarnenez,2016,3,0.63999999,514738,8.377648525
France,FR - Douarnenez,2019,3,0.94999999,319576,7.826839514
France,FR - Douarnenez,2013,11,0.82999998,173096,7.738533828
France,FR - Douarnenez,2015,6,0.69,37867,5.318554201
France,FR - Douarnenez,2014,3,2.46,22211,6.313022691
France,FR - Douarnenez,2018,1,1.49,168267,9.460390527
France,FR - Douarnenez,2015,8,0.89999998,463263,5.401511665
France,FR - Douarnenez,2015,11,0.83999997,35798,8.456407027
France,FR - Douarnenez,2016,6,1.08,195210,4.931116289
France,FR - Douarnenez,2014,10,0.69999999,517479,6.513295629
France,FR - Douarnenez,2019,6,0.73000002,255959,5.255305447
France,FR - Douarnenez,2014,1,0.87,236752,9.74782733
France,FR - Douarnenez,2017,8,0.86000001,323836,5.223446036
France,FR - Douarnenez,2019,4,1.37,54552,6.000107494
France,FR - Douarnenez,2013,2,1.84,39961,7.130766246
France,FR - Douarnenez,2014,9,0.68000001,740040,3.801506052
France,FR - Douarnenez,2013,6,0.88999999,429972,6.042893181
France,FR - Douarnenez,2016,2,0.80000001,312172,9.176292392
France,FR - Douarnenez,2019,5,0.81999999,337721,5.080313459
France,FR - Douarnenez,2018,7,0.83999997,934903,4.325945623
France,FR - Douarnenez,2015,1,1.1799999,124608,8.475681588
France,FR - Douarnenez,2013,5,1.01,408359,6.627168023
France,FR - Douarnenez,2017,11,0.69999999,963120,6.675862619
France,FR - Douarnenez,2015,9,0.66000003,560920,5.666889663
France,FR - Douarnenez,2017,12,0.69,365321,8.146130159
France,FR - Douarnenez,2017,2,0.83999997,493102,8.211025649
France,FR - Douarnenez,2018,3,0.89999998,608061,7.979489765
France,FR - Douarnenez,2019,1,0.89999998,390169,6.346863511
France,FR - Douarnenez,2016,11,0.77999997,366019,7.64120349
France,FR - Douarnenez,2016,4,0.64999998,319675,6.551486718
France,FR - Douarnenez,2018,11,0.72000003,628012,7.773015703
France,FR - Douarnenez,2013,7,0.85000002,1014281,5.356679177
France,FR - Douarnenez,2016,10,0.99000001,248270,5.438474762
France,FR - Douarnenez,2017,6,0.83999997,131941,5.245412624
France,FR - Douarnenez,2014,4,0.93000001,318239,5.891250098
France,FR - Douarnenez,2013,12,0.75,63657,8.10732045
France,FR - Douarnenez,2019,2,1.03,303969,7.010727217
France,FR - Douarnenez,2017,7,1.3200001,193908,5.806413686
France,FR - Douarnenez,2014,8,0.72000003,984974,5.744959885
France,FR - Douarnenez,2016,8,1.22,303156,5.242148611
France,FR - Douarnenez,2015,7,0.66000003,146071,5.462783062
France,FR - Douarnenez,2013,9,0.70999998,1372839,5.068638029
France,FR - Douarnenez,2014,7,0.68000001,669958,4.759733708
France,FR - Douarnenez,2015,12,1.3200001,10680,9.961589127
France,FR - Douarnenez,2018,5,0.87,200703,9.293219686
France,FR - Douarnenez,2015,10,0.67000002,26950,6.550322299
France,FR - Douarnenez,2016,7,1.59,434193,4.752161354
France,FR - Douarnenez,2016,1,0.49000001,502495,9.841478585
France,FR - Douarnenez,2016,5,0.69,392548,5.186635685
France,FR - Douarnenez,2014,2,2.29,7966,11.08722669
France,FR - Douarnenez,2014,11,2.04,30324,7.412884832
France,FR - Douarnenez,2017,5,1.28,448424,5.199576288
France,FR - Douarnenez,2018,4,0.95999998,200075,6.043118173
France,FR - Douarnenez,2013,8,0.67000002,1356030,4.847943294
France,FR - Douarnenez,2018,9,0.98000002,218740,5.577362051
France,FR - Douarnenez,2017,9,0.87,184342,6.623759441
France,FR - Douarnenez,2015,3,1.4,121015,7.458233736
France,FR - Douarnenez,2013,10,0.77999997,654465,7.318114705
France,FR - Douarnenez,2017,10,0.66000003,100177,6.082915385
France,FR - Douarnenez,2017,4,0.91000003,232979,4.946191859
France,FR - Douarnenez,2018,12,1.28,141701,7.665700042
France,FR - Douarnenez,2015,5,1.12,70866,6.459338594
France,FR - Douarnenez,2017,3,0.81,631708,7.464541238
France,FR - Douarnenez,2015,2,1.5700001,97777,8.310817071
France,FR - Douarnenez,2016,12,0.63999999,807525,5.533985427
France,FR - Douarnenez,2014,5,1.01,305723,5.466865602
France,FR - Douarnenez,2013,3,0.73000002,336049,7.291032779
France,FR - Douarnenez,2018,8,0.81,910909,4.427778783
France,FR - Douarnenez,2016,9,0.89999998,656040,5.257016986
France,FR - Douarnenez,2015,4,1.11,199273,5.934824712
France,FR - Douarnenez,2017,1,0.64999998,766005,6.987096953
France,FR - Douarnenez,2018,10,0.69999999,277084,6.354293353
France,FR - Douarnenez,2018,2,1.38,254686,8.366215178
France,FR - Granville,2016,2,1.8200001,19,6.574346037
France,FR - Granville,2015,7,1.51,37,4.513228505
France,FR - Granville,2014,3,1.63,98,3.957474725
France,FR - Granville,2013,1,1.35,6,4.579302717
France,FR - Granville,2014,4,0.77999997,382,3.611447225
France,FR - Granville,2016,9,0.79000002,15,3.451941291
France,FR - Granville,2019,4,1.45,304,4.244071776
France,FR - Granville,2018,5,1.6,736,8.313307669
France,FR - Granville,2013,3,0.79000002,470,4.109891773
France,FR - Granville,2016,6,0.60000002,152,3.595279267
France,FR - Granville,2017,2,1.73,6,4.886794152
France,FR - Granville,2018,2,0.25,1090,5.367768976
France,FR - Granville,2018,7,0.98000002,146,3.173826738
France,FR - Granville,2015,3,1.4,741,5.356574406
France,FR - Granville,2016,1,1.61,3,6.649149854
France,FR - Granville,2013,4,0.76999998,2194,4.683994653
France,FR - Granville,2018,3,1.65,89,5.356854176
France,FR - Granville,2013,11,0.38999999,227,4.89576124
France,FR - Granville,2018,6,2.4100001,108,3.322515667
France,FR - Granville,2017,10,2.1400001,5,3.988254431
France,FR - Granville,2014,1,0.36000001,615,6.170417614
France,FR - Granville,2014,2,0.80000001,46,6.972327414
France,FR - Granville,2016,4,0.49000001,1049,4.921187775
France,FR - Granville,2015,6,1.04,75,4.595068493
France,FR - Granville,2017,11,1.47,6,4.521120939
France,FR - Granville,2017,3,1.86,58,4.627134634
France,FR - Granville,2014,12,5,10,4.795744917
France,FR - Granville,2013,10,1.99,3,4.467759888
France,FR - Granville,2019,2,0.23999999,915,4.493326703
France,FR - Granville,2016,5,1.5700001,37,4.027856125
France,FR - Granville,2018,4,0.55000001,1928,3.997956918
France,FR - Granville,2013,5,1.54,471,3.871017389
France,FR - Granville,2015,10,1.91,7,4.862641779
France,FR - Granville,2014,5,0.56999999,901,3.935753265
France,FR - Granville,2018,11,0.50999999,133,4.850290616
France,FR - Granville,2018,1,0.28,1124,6.04296185
France,FR - Granville,2015,12,1.6,10,6.681057048
France,FR - Granville,2019,6,1.76,131,3.705847015
France,FR - Granville,2018,10,1.5,9,4.352715504
France,FR - Granville,2019,1,0.98000002,127,4.164136013
France,FR - Granville,2013,9,1.5,11,3.055978086
France,FR - Granville,2017,6,2.03,35,3.573306846
France,FR - Granville,2014,10,1.99,2,3.977853079
France,FR - Granville,2013,2,0.88999999,69,4.56390461
France,FR - Granville,2015,9,0.31,32,4.899772365
France,FR - Granville,2013,8,0.33000001,2,2.923226042
France,FR - Granville,2013,6,1.75,15,3.678944336
France,FR - Granville,2015,4,0.50999999,2412,4.743356952
France,FR - Granville,2014,8,0.25,12,3.152367761
France,FR - Granville,2014,6,1.77,99,3.097802867
France,FR - Granville,2015,2,2.21,64,5.904538479
France,FR - Granville,2017,1,0.33000001,109,3.984535739
France,FR - Granville,2019,5,1.53,99,3.754375529
France,FR - Granville,2016,7,1.9400001,2,3.301270741
France,FR - Granville,2015,5,1.25,376,4.778387532
France,FR - Granville,2016,3,0.56,1321,6.041739297
France,FR - Granville,2018,9,1.38,43,3.70479734
France,FR - Granville,2019,3,1.11,1,5.409096973
France,FR - Granville,2015,1,0.83999997,1482,5.6021871
France,FR - Granville,2013,12,0.57999998,42,5.262125849
France,FR - Granville,2017,5,1.12,206,3.98837662
France,FR - Granville,2015,8,0.38999999,10,4.269034214
France,FR - Granville,2017,4,1.76,303,3.493954425
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2016,4,2.02,7892,5.903113757
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2017,2,1.9,144,7.855592668
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2016,3,2.02,373,7.830948977
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2013,8,2.21,4254,4.977505631
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2016,9,2.53,9593,4.673716072
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2017,7,2.52,3400,5.622608151
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2018,10,1.37,1618,6.93799174
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2015,3,1.36,976,6.460722628
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2013,1,0.63999999,23,7.817153285
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2016,5,2.48,5141,5.841442162
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2015,9,2.51,687,6.556553582
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2016,2,1.8200001,41,8.504485213
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2018,2,2.1800001,201,8.57742868
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2013,2,2.0599999,79,7.156430373
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2017,11,1.71,1962,6.659878491
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2015,7,3.0599999,13132,5.303970981
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2014,9,1.34,733,5.047939525
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2015,8,3.4300001,7664,4.963441166
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2014,10,2.2,91,5.580438727
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2016,1,2.0999999,968,9.056795454
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2017,8,2.53,7092,4.980893524
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2019,6,2.0999999,2187,5.543199345
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2015,10,2.53,206,6.526499582
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2013,12,1.65,926,7.741711818
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2017,9,1.55,1064,5.686125323
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2018,5,1.79,6569,10.37344587
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2013,10,1.8,298,6.178826633
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2016,6,2.23,4462,5.817356862
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2019,1,1.61,121,7.404404372
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2017,4,2.4200001,11493,6.64577648
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2019,2,1.34,519,6.084199612
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2016,10,1.84,5415,5.62369021
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2015,2,0.64999998,67,8.698356153
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2014,6,2.01,9638,5.55042748
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2018,4,2.3599999,6103,5.412626668
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2015,12,3.0999999,695,6.560458821
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2018,11,1.3099999,220,6.959578305
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2016,7,2.99,5675,5.004996196
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2015,6,2.3699999,9556,5.258484424
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2018,6,2.49,4531,5.528692154
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2017,3,2.24,348,7.041758448
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2018,7,2.1199999,8298,5.001745913
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2014,1,2.9300001,14,9.281698202
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2013,11,2.1199999,214,9.191091571
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2015,4,2.3099999,11644,5.32199404
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2013,5,2.48,2317,5.896375271
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2016,12,2.03,114,5.44781779
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2017,12,2.05,1085,7.916162038
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2014,3,2.3099999,362,6.442101553
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2018,3,2.1300001,459,9.068131712
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2013,7,1.97,9198,5.182011635
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2018,9,1.6900001,6163,5.549734741
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2013,4,2.8,606,6.105691563
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2015,5,3.1900001,3996,6.204565038
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2017,5,2.1099999,7393,5.807088221
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2014,4,2.3099999,940,6.047562423
France,FR - La Cotiniere (Saint-Pierre-d'Oleron),2014,5,2.4400001,6135,6.123978284
